Period,Nifty Return (%)
3 Months,-8.39200903003518
6 Months,-1.523488942140582
1 Year,8.804772613183639
2 Years,30.596012003949706
3 Years,36.24946175246814
4 Years,69.11188356250113
5 Years,94.31234373626317
