Date,Close,High,Low,Open,Volume
2014-01-31,6089.5,6097.850098,6067.350098,6082.75,146700
2014-02-28,6276.950195,6282.700195,6228.100098,6228.450195,180600
2014-03-31,6704.200195,6730.049805,6662.399902,6723.149902,220600
2014-04-30,6696.399902,6780.149902,6656.799805,6724.950195,161100
2014-05-31,7229.950195,7272.5,7118.450195,7254.850098,312200
2014-06-30,7611.350098,7623.649902,7531.600098,7534.049805,152300
2014-07-31,7721.299805,7791.850098,7711.149902,7784.649902,208900
2014-08-31,7954.350098,7967.799805,7939.200195,7942.25,189700
2014-09-30,7964.799805,8030.899902,7923.850098,7948.799805,141100
2014-10-31,8322.200195,8330.75,8198.049805,8200.799805,176200
2014-11-30,8588.25,8617,8516.25,8516.799805,197200
2014-12-31,8282.700195,8291,8243.75,8243.900391,84500
2015-01-31,8808.900391,8996.599609,8775.099609,8996.599609,267300
2015-02-28,8844.599609,8856.950195,8717.450195,8729.5,249500
2015-03-31,8491,8550.450195,8454.150391,8527.599609,167200
2015-04-30,8181.5,8229.400391,8144.75,8224.5,267700
2015-05-31,8433.650391,8443.900391,8305.700195,8327.099609,363900
2015-06-30,8368.5,8378,8298.950195,8316.349609,158500
2015-07-31,8532.849609,8548.950195,8448,8456.099609,203300
2015-08-31,7971.299805,8043.600098,7947.950195,8009.25,198200
2015-09-30,7948.899902,7957.700195,7874.5,7924.25,210700
2015-10-31,8065.799805,8146.100098,8044.399902,8123.549805,199500
2015-11-30,7935.25,7966,7922.799805,7936.25,216300
2015-12-31,7946.350098,7955.549805,7891.149902,7897.799805,150900
2016-01-31,7563.549805,7575.649902,7402.799805,7413.350098,298700
2016-02-29,6987.049805,7094.600098,6825.799805,7050.450195,473400
2016-03-31,7738.399902,7777.600098,7702,7727.649902,380100
2016-04-30,7849.799805,7889.049805,7788.700195,7844.25,243700
2016-05-31,8160.100098,8213.599609,8134.299805,8209.849609,471000
2016-06-30,8287.75,8308.150391,8242.099609,8260.25,279400
2016-07-31,8638.5,8670.349609,8631.150391,8668.299805,157000
2016-08-31,8786.200195,8819.200195,8754.049805,8754.049805,362200
2016-09-30,8611.150391,8637.150391,8555.200195,8581.5,181700
2016-10-31,8638,8653.75,8581.75,8625,175500
2016-11-30,8224.5,8234.25,8139.25,8172.149902,248000
2016-12-31,8185.799805,8197,8114.75,8119.649902,127600
2017-01-31,8561.299805,8631.75,8552.400391,8629.450195,521000
2017-02-28,8879.599609,8914.75,8867.599609,8898.950195,293600
2017-03-31,9173.75,9191.700195,9152.099609,9158.900391,190900
2017-04-30,9304.049805,9342.650391,9282.25,9340.950195,162200
2017-05-31,9621.25,9649.599609,9609.25,9636.549805,414300
2017-06-30,9520.900391,9535.799805,9448.75,9478.5,179600
2017-07-31,10077.09961,10085.90039,10016.9502,10034.7002,237700
2017-08-31,9917.900391,9925.099609,9856.950195,9905.700195,327700
2017-09-30,9788.599609,9854,9775.349609,9814.299805,196300
2017-10-31,10335.2998,10367.7002,10323.9502,10364.90039,232600
2017-11-30,10226.5498,10332.7002,10211.25,10332.7002,342500
2017-12-31,10530.7002,10538.7002,10488.65039,10492.34961,152000
2018-01-31,11027.7002,11058.5,10979.2998,11018.7998,245900
2018-02-28,10492.84961,10535.5,10461.5498,10488.9502,286000
2018-03-31,10113.7002,10158.34961,10096.90039,10143.59961,344400
2018-04-30,10739.34961,10759,10704.59961,10705.75,173800
2018-05-31,10736.15039,10763.7998,10620.40039,10670.09961,610300
2018-06-30,10714.2998,10723.0498,10612.34961,10612.84961,242800
2018-07-31,11356.5,11366,11267.75,11311.0498,256500
2018-08-31,11680.5,11727.65039,11640.09961,11675.84961,346500
2018-09-30,10930.4502,11034.09961,10850.2998,11008.09961,478100
2018-10-31,10386.59961,10396,10105.09961,10209.5498,375000
2018-11-30,10876.75,10922.4502,10835.09961,10892.09961,453900
2018-12-31,10862.5498,10923.5498,10853.2002,10913.2002,180900
2019-01-31,10830.9502,10838.0498,10678.5498,10690.5498,604800
2019-02-28,10792.5,10865.7002,10784.84961,10865.7002,644200
2019-03-31,11570,11588.5,11452.4502,11463.65039,527700
2019-04-30,11748.15039,11756.25,11655.90039,11748.75,532600
2019-05-31,11922.7998,12039.25,11829.4502,11999.7998,438900
2019-06-30,11788.84961,11871.7002,11775.5,11861.15039,303900
2019-07-31,11118,11145.2998,10999.40039,11034.0498,536700
2019-08-31,11023.25,11042.59961,10874.7998,10987.7998,628200
2019-09-30,11474.4502,11508.25,11390.7998,11491.15039,756800
2019-10-31,11877.4502,11945,11855.09961,11890.4502,1414800
2019-11-30,12056.0498,12147.40039,12017.40039,12146.2002,804400
2019-12-31,12168.4502,12247.09961,12151.7998,12247.09961,426900
2020-01-31,11962.09961,12103.5498,11945.84961,12100.40039,771300
2020-02-29,11201.75,11384.7998,11175.0498,11382,809900
2020-03-31,8597.75,8678.299805,8358,8529.349609,712700
2020-04-30,9859.900391,9889.049805,9731.5,9753.5,931200
2020-05-31,9580.299805,9598.849609,9376.900391,9422.200195,967000
2020-06-30,10302.09961,10401.0498,10267.34961,10382.59961,556200
2020-07-31,11073.4502,11150.40039,11026.65039,11139.5,642600
2020-08-31,11387.5,11794.25,11325.84961,11777.5498,1371800
2020-09-30,11247.5498,11295.40039,11184.5498,11244.4502,499300
2020-10-31,11642.40039,11748.9502,11535.4502,11678.4502,553700
2020-11-30,12968.9502,13035.2998,12914.2998,13012.0498,1162400
2020-12-31,13981.75,14024.84961,13936.4502,13970,452400
2021-01-31,13634.59961,13966.84961,13596.75,13946.59961,753200
2021-02-28,14529.15039,14919.4502,14467.75,14888.59961,1103600
2021-03-31,14690.7002,14813.75,14670.25,14811.84961,463900
2021-04-30,14631.09961,14855.4502,14601.7002,14747.34961,613900
2021-05-31,15582.7998,15606.34961,15374,15437.75,436000
2021-06-30,15721.5,15839.09961,15708.75,15776.90039,262400
2021-07-31,15763.0498,15862.7998,15744.84961,15800.59961,400000
