Date,P/E,P/B,CAPE,Close,Year,cagr_curve_free,cagr_curve_best,cagr_dev_pct,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y
1999-01-01,11.62,2.07,13.75,890.8,1999,939.015050684648,890.8,0.0,890.8,0.0,5.539964077233961,19.38145487202516,32.82442748091605,78.73821284238889,40.80601706331388,18.46654692411316,23.501347103727,114.66659182757076
1999-01-04,11.72,2.08,13.75,897.8,1999,939.9889777304767,891.7453813805532,0.678962711314892,891.7237793248858,0.6814016645058452,4.6669636890176,12.653152149699265,37.029405212742276,82.5239474270439,45.650478948540886,22.09846290933395,20.778569837380267,117.7545110269548
1999-01-05,11.84,2.11,13.75,907.2,1999,940.3138445022701,892.0607314119767,1.6971118730964125,892.0319186018353,1.7003967102364574,3.2076719576719537,11.485890652557318,35.60956790123455,75.90388007054672,46.30180776014108,21.26873897707231,19.527116402116395,115.49823633156966
1999-01-06,12.11,2.16,13.75,928.25,1999,940.6388235502942,892.3761929613786,4.020031834284266,892.3401643577375,4.024231686142761,-1.2658227848101222,10.33665499596015,33.71936439536762,74.26339886883922,41.04497710746027,18.518718017775406,16.816590358200912,107.56261782924858
1999-01-07,12.46,2.22,13.75,954.7,1999,940.9639149133527,892.6917660681954,6.946208791071971,892.6485166293866,6.951390408950433,-4.0012569393526825,7.997276631402528,30.271289410285963,68.98502147271392,37.13732062427988,15.235152403896524,13.313082643762431,100.76987535351418
1999-01-08,12.92,2.3,13.75,990.05,1999,941.2891186302624,893.0074507718775,10.866936120660919,892.9569754535893,10.873202989101575,-7.428917731427697,3.0604514923488813,25.655269935861824,64.93611433765973,32.24079591939801,12.105449219736396,10.0297964749255,98.83339225291652
1999-01-11,12.86,2.29,13.75,985.6,1999,942.2654042924676,893.9551748588276,10.25161302474085,893.8829916097822,10.260516113529123,-2.5923295454545525,1.2784090909090828,33.45677759740258,59.54748376623375,29.910714285714302,10.445413961038952,8.94379058441559,97.40259740259738
1999-01-12,12.59,2.24,13.75,964.45,1999,942.5910578132185,894.2713063447529,7.8475841903164385,894.1918770125251,7.857164082300297,0.6013790243143635,3.4994038052776233,36.38343097101973,68.46907563896521,33.41801026491782,15.070765721395606,11.332884027165747,101.73155684587067
1999-01-13,12.54,2.23,13.75,961.2,1999,942.9168238821062,894.5875496250042,7.4461633635431985,894.5008691520478,7.456575297817254,-0.6918435289221869,3.4384103204327943,37.47919267582189,68.68497711194341,33.86912193091969,15.459841864336244,11.709321681231799,104.2863087806908
1999-01-14,12.46,2.22,13.75,954.75,1999,943.2427025380281,894.9039047391159,6.6874325772810845,894.8099680652336,6.698632567132577,-0.020947892118361455,1.4506415291961172,39.84289080911234,69.96595967530767,34.77350091647029,16.239853364755174,13.008641005498834,107.60932181199267
